"Ozone","Temp"
41,67
36,72
12,74
18,62
0,56
28,66
23,65
19,59
8,61
0,69
7,74
16,69
11,66
14,68
18,58
14,64
34,66
6,57
30,68
11,62
1,59
11,73
4,61
32,61
0,57
0,58
0,57
23,67
45,81
115,79
37,76
0,78
0,74
0,67
0,84
0,85
0,79
29,82
0,87
71,90
39,87
0,93
0,92
23,82
0,80
0,79
21,77
37,72
20,65
12,73
13,76
0,77
0,76
0,76
0,76
0,75
0,78
0,73
0,80
0,77
0,83
135,84
49,85
32,81
0,84
64,83
40,83
77,88
97,92
97,92
85,89
0,82
10,73
27,81
0,91
7,80
48,81
35,82
61,84
79,87
63,85
16,74
0,81
0,82
80,86
108,85
20,82
52,86
82,88
50,86
64,83
59,81
39,81
9,81
16,82
78,86
35,85
66,87
122,89
89,90
110,90
0,92
0,86
44,86
28,82
65,80
0,79
22,77
59,79
23,76
31,78
44,78
21,77
9,72
0,75
45,79
168,81
73,86
0,88
76,97
118,94
84,96
85,94
96,91
78,92
73,93
91,93
47,87
32,84
20,80
23,78
21,75
24,73
44,81
21,76
28,77
9,71
13,71
46,78
18,67
13,76
24,68
16,82
13,64
23,71
36,81
7,69
14,63
30,70
0,77
14,75
18,76
20,68
